"",11/26/2008,11/24/2008
150,,
050,,
950,11/29/2008,1M1a/i2z6e/ G20ra0i8n ‐ Retail
850,,
"",,Maize Grain ‐Wholesale
750,,11/29/2008
650,12/1/2008,Millet Grain ‐ Retail
550,,M1i2ll/e1t/ G2r0a0i8n ‐Wholesale
450,,
"",12/3/2008,
Table 1: Chicken price by region,,,,,,,,
Commodity,Type,Central,,Eastern,,Northern,,Western
"",,,Wholesale,"2,300","1,000","1,400","1,000",900,"1,000","1,100","1,350","1,400","1,100","1,300","1,200","1,000",,"1,640","2,000","1,400",,"1,318"
"",Sunflower,Kg,Retail,,"2,100",,,520,600,,,,400,,,500,,,,"1,800",,987
"",,,Wholesale,,"1,900",,,470,500,,,,350,,,400,,,,"1,700",,887
"",Sweet Potatoes,Kg,Retail,500,400,800,300,450,600,300,200,500,200,600,500,800,,200,250,150,800,444
"",,,Wholesale,280,300,700,250,400,520,270,150,300,150,550,400,500,,160,200,100,700,349
"",Tea (Unprocessed),Kg,Retail,,,,,400,,,,,,,,,,,,,,400
"",,,Wholesale,,,,,350,,,,,,,,,,,,,,350
"",Turkey (Bird),bird,Retail,,"26,000",,"40,000",,"26,000","30,000",,"30,000","35,000",,"24,500","25,000",,,,,,"29,563"
"",,,Wholesale,,"21,000",,"35,000",,"23,000","28,000",,"20,000","30,000",,"22,500","20,000",,,,,,"24,938"
"",Upland Rice,Kg,Retail,"1,600","1,800","2,000",,"1,600","1,700","1,500",,,,"2,000","1,700","1,800","1,600","1,800","1,800","1,800","2,000","1,764"
"",,,Wholesale,"1,500","1,600","1,800",,"1,400","1,300","1,400",,,,"1,600","1,500","1,700","1,320","1,700","1,750","1,700","1,800","1,576"
"",Vanilla (Unprocessed),Kg,Retail,,"1,800",,,"2,500",,,,,,,,,,,,,,"2,150"
